,location,city,country,unit,latitude,longitude,co,no2,o3,pm10,pm25,so2
116,"Rohini, Delhi - DPCC",Delhi,IN,µg/m³,28.732528000000002,77.11992,1270.0,4.863636363636363,13.109090909090908,141.54545454545453,73.0,4.210000000000001
117,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,IN,µg/m³,10.942451,76.978996,1440.8333333333333,0.2283333333333333,9.807500000000001,17.990000000000002,15.138333333333334,8.285833333333333
118,"Sahilara, Maihar - KJS Cements",Maihar,IN,µg/m³,24.2613009,80.7231783,419.0,7.726999999999999,,56.620000000000005,13.495,6.811
119,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN,µg/m³,17.455945800000002,78.4332152,205.55555555555554,11.2,18.233333333333334,,25.333333333333332,7.566666666666666
120,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,IN,µg/m³,12.990328,77.5431385,369.1666666666667,4.955,,40.23333333333333,,4.689166666666666
121,"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,IN,µg/m³,28.685382,77.453839,1136.6666666666667,40.43333333333333,1.555,162.66666666666666,128.66666666666666,8.924999999999999
122,"Sanjay Palace, Agra - UPPCB",Agra,IN,µg/m³,27.19865833,78.00598056,,15.9,,,34.666666666666664,23.733333333333334
123,"Sector - 125, Noida - UPPCB",Noida,IN,µg/m³,28.544760800000002,77.32312569999999,836.6666666666666,0.0,5.108333333333334,124.0,65.33333333333333,9.283333333333335
124,"Sector - 62, Noida - IMD",Noida,IN,µg/m³,28.6245479,77.3577104,763.0769230769231,18.825384615384614,19.249230769230767,72.26153846153846,36.17769230769231,
125,"Sector-1, Noida - UPPCB",Noida,IN,µg/m³,28.5898,77.3101,851.6666666666666,24.474999999999998,,82.33333333333333,47.666666666666664,6.4750000000000005
126,"Sector-10, Gandhinagar - GPCB",GandhiNagar,IN,µg/m³,23.221714000000002,72.654328,415.0,14.179166666666667,23.420833333333334,47.605,19.70333333333333,4.350833333333333
127,"Sector-116, Noida - UPPCB",Noida,IN,µg/m³,28.569229999999997,77.39384799999999,,17.350000000000005,11.585833333333332,78.33333333333333,49.0,4.041666666666667
128,"Sector-12, Karnal - HSPCB",Karnal,IN,µg/m³,29.6953,77.0027,552.5,7.922499999999999,3.7783333333333338,107.46,55.38583333333332,14.890833333333333
129,"Sector-18, Panipat - HSPCB",Panipat,IN,µg/m³,29.497972999999998,76.99333100000001,519.1666666666666,25.656666666666666,28.84166666666667,134.975,60.3675,7.4383333333333335
130,"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,IN,µg/m³,22.624758,75.67523800000001,273.3333333333333,6.883333333333333,7.766666666666666,64.0,23.666666666666668,4.918181818181818
131,"Sector-6, Panchkula - HSPCB ",Panchkula,IN,µg/m³,30.7057778,76.8531805555555,5.0,13.10666666666667,64.82916666666667,,39.559999999999995,4.240833333333334
132,"Sector-7, Kurukshetra - HSPCB",Kurukshetra ,IN,µg/m³,29.966942,76.875879,0.4408333333333334,25.855833333333333,6.560833333333332,73.705,31.765,21.338333333333335
133,"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,IN,µg/m³,23.108439999999998,77.51142800000001,416.6666666666667,5.625,20.4,21.666666666666668,12.333333333333334,13.4
